T,P,VL,VV,UL,UV,HL,HV,SL,SV
251.5,4077.636528,0.001255,0.048800,1087.8738,2601.5201,1092.9922,2800.5107,2.8071,6.0617
252,4111.974194,0.001256,0.048380,1090.2659,2601.3942,1095.4323,2800.3318,2.8117,6.0582
252.5,4146.532711,0.001258,0.047964,1092.6601,2601.2639,1097.8749,2800.1470,2.8162,6.0546
253,4181.313038,0.001259,0.047551,1095.0565,2601.1291,1100.3200,2799.9563,2.8208,6.0511
253.5,4216.316138,0.001260,0.047143,1097.4550,2600.9897,1102.7677,2799.7596,2.8254,6.0476
254,4251.542976,0.001261,0.046739,1099.8557,2600.8457,1105.2179,2799.5569,2.8299,6.0441
254.5,4286.994518,0.001262,0.046338,1102.2586,2600.6972,1107.6707,2799.3481,2.8345,6.0405
255,4322.671735,0.001264,0.045941,1104.6637,2600.5441,1110.1260,2799.1333,2.8391,6.0370
255.5,4358.575598,0.001265,0.045548,1107.0710,2600.3863,1112.5840,2798.9124,2.8436,6.0335
256,4394.707082,0.001266,0.045159,1109.4805,2600.2239,1115.0446,2798.6853,2.8482,6.0300
256.5,4431.067163,0.001267,0.044774,1111.8923,2600.0568,1117.5079,2798.4520,2.8527,6.0264
257,4467.656822,0.001269,0.044392,1114.3063,2599.8849,1119.9738,2798.2126,2.8573,6.0229
257.5,4504.477039,0.001270,0.044014,1116.7226,2599.7083,1122.4425,2797.9669,2.8619,6.0194
258,4541.5288,0.001271,0.043639,1119.1412,2599.5270,1124.9138,2797.7149,2.8664,6.0158
258.5,4578.813091,0.001272,0.043268,1121.5622,2599.3408,1127.3879,2797.4567,2.8710,6.0123
259,4616.330902,0.001274,0.042900,1123.9854,2599.1498,1129.8647,2797.1920,2.8756,6.0088
259.5,4654.083225,0.001275,0.042536,1126.4110,2598.9540,1132.3443,2796.9210,2.8801,6.0052
260,4692.071054,0.001276,0.042175,1128.8389,2598.7533,1134.8266,2796.6436,2.8847,6.0017
260.5,4730.295388,0.001277,0.041818,1131.2693,2598.5476,1137.3118,2796.3598,2.8893,5.9981
261,4768.757224,0.001279,0.041464,1133.7020,2598.3370,1139.7998,2796.0694,2.8939,5.9946
261.5,4807.457567,0.001280,0.041113,1136.1372,2598.1214,1142.2907,2795.7726,2.8984,5.9911
262,4846.397422,0.001281,0.040766,1138.5747,2597.9009,1144.7844,2795.4691,2.9030,5.9875
262.5,4885.577796,0.001283,0.040422,1141.0148,2597.6753,1147.2810,2795.1591,2.9076,5.9840
263,4924.999699,0.001284,0.040081,1143.4573,2597.4446,1149.7806,2794.8424,2.9121,5.9804
263.5,4964.664145,0.001285,0.039743,1145.9023,2597.2088,1152.2830,2794.5191,2.9167,5.9769
264,5004.572151,0.001287,0.039408,1148.3498,2596.9679,1154.7885,2794.1890,2.9213,5.9733
264.5,5044.724734,0.001288,0.039077,1150.7998,2596.7219,1157.2969,2793.8522,2.9258,5.9697
265,5085.122917,0.001289,0.038748,1153.2524,2596.4706,1159.8083,2793.5086,2.9304,5.9662
265.5,5125.767723,0.001291,0.038422,1155.7075,2596.2141,1162.3227,2793.1582,2.9350,5.9626
266,5166.66018,0.001292,0.038100,1158.1653,2595.9524,1164.8402,2792.8008,2.9396,5.9590
266.5,5207.801318,0.001293,0.037780,1160.6256,2595.6854,1167.3608,2792.4366,2.9441,5.9555
267,5249.192169,0.001295,0.037463,1163.0886,2595.4131,1169.8845,2792.0654,2.9487,5.9519
267.5,5290.83377,0.001296,0.037150,1165.5542,2595.1354,1172.4112,2791.6873,2.9533,5.9483
268,5332.727159,0.001297,0.036839,1168.0224,2594.8523,1174.9412,2791.3020,2.9579,5.9448
268.5,5374.873378,0.001299,0.036530,1170.4934,2594.5637,1177.4743,2790.9097,2.9624,5.9412
269,5417.273471,0.001300,0.036225,1172.9671,2594.2697,1180.0106,2790.5103,2.9670,5.9376
269.5,5459.928486,0.001302,0.035922,1175.4434,2593.9703,1182.5501,2790.1037,2.9716,5.9340
270,5502.839474,0.001303,0.035622,1177.9226,2593.6652,1185.0928,2789.6899,2.9762,5.9304
270.5,5546.007488,0.001304,0.035325,1180.4045,2593.3547,1187.6388,2789.2688,2.9808,5.9268
271,5589.433584,0.001306,0.035031,1182.8892,2593.0385,1190.1882,2788.8404,2.9853,5.9232
271.5,5633.118824,0.001307,0.034739,1185.3768,2592.7166,1192.7408,2788.4046,2.9899,5.9196
272,5677.064268,0.001309,0.034450,1187.8671,2592.3891,1195.2968,2787.9615,2.9945,5.9160
272.5,5721.270985,0.001310,0.034163,1190.3604,2592.0558,1197.8562,2787.5109,2.9991,5.9124
273,5765.740042,0.001312,0.033879,1192.8565,2591.7168,1200.4189,2787.0528,3.0037,5.9088
273.5,5810.472513,0.001313,0.033597,1195.3555,2591.3720,1202.9851,2786.5872,3.0083,5.9052
274,5855.469473,0.001315,0.033318,1197.8575,2591.0214,1205.5548,2786.1140,3.0129,5.9016
274.5,5900.732001,0.001316,0.033041,1200.3624,2590.6648,1208.1279,2785.6331,3.0175,5.8980
275,5946.26118,0.001318,0.032767,1202.8703,2590.3024,1210.7046,2785.1446,3.0221,5.8943
275.5,5992.058095,0.001319,0.032495,1205.3812,2589.9340,1213.2848,2784.6483,3.0266,5.8907
276,6038.123834,0.001321,0.032226,1207.8951,2589.5596,1215.8686,2784.1442,3.0312,5.8871
276.5,6084.459492,0.001322,0.031959,1210.4121,2589.1791,1218.4560,2783.6323,3.0358,5.8834
277,6131.066163,0.001324,0.031694,1212.9322,2588.7925,1221.0470,2783.1124,3.0404,5.8798
277.5,6177.944946,0.001325,0.031432,1215.4554,2588.3998,1223.6416,2782.5846,3.0450,5.8761
278,6225.096946,0.001327,0.031172,1217.9817,2588.0010,1226.2400,2782.0488,3.0496,5.8725
278.5,6272.523267,0.001328,0.030914,1220.5112,2587.5959,1228.8421,2781.5050,3.0542,5.8688
279,6320.225021,0.001330,0.030658,1223.0438,2587.1845,1231.4479,2780.9530,3.0589,5.8652
279.5,6368.20332,0.001331,0.030405,1225.5797,2586.7668,1234.0576,2780.3928,3.0635,5.8615
280,6416.459282,0.001333,0.030154,1228.1189,2586.3428,1236.6710,2779.8245,3.0681,5.8578
280.5,6464.994028,0.001334,0.029905,1230.6612,2585.9123,1239.2883,2779.2478,3.0727,5.8542
281,6513.808682,0.001336,0.029658,1233.2069,2585.4754,1241.9095,2778.6628,3.0773,5.8505
281.5,6562.904374,0.001338,0.029413,1235.7560,2585.0320,1244.5346,2778.0693,3.0819,5.8468
282,6612.282235,0.001339,0.029171,1238.3083,2584.5820,1247.1636,2777.4674,3.0865,5.8431
282.5,6661.943402,0.001341,0.028930,1240.8641,2584.1254,1249.7967,2776.8570,3.0912,5.8394
283,6711.889015,0.001342,0.028692,1243.4233,2583.6622,1252.4338,2776.2380,3.0958,5.8357
283.5,6762.120217,0.001344,0.028455,1245.9859,2583.1923,1255.0749,2775.6103,3.1004,5.8320
284,6812.638157,0.001346,0.028221,1248.5520,2582.7156,1257.7201,2774.9739,3.1050,5.8283
284.5,6863.443987,0.001347,0.027988,1251.1216,2582.2320,1260.3694,2774.3287,3.1097,5.8246
285,6914.538863,0.001349,0.027758,1253.6948,2581.7417,1263.0230,2773.6747,3.1143,5.8208
285.5,6965.923946,0.001351,0.027529,1256.2715,2581.2444,1265.6807,2773.0117,3.1189,5.8171
286,7017.600399,0.001352,0.027303,1258.8518,2580.7401,1268.3426,2772.3398,3.1236,5.8134
286.5,7069.569392,0.001354,0.027078,1261.4358,2580.2288,1271.0089,2771.6588,3.1282,5.8096
287,7121.832098,0.001356,0.026855,1264.0234,2579.7104,1273.6794,2770.9687,3.1329,5.8059
287.5,7174.389694,0.001358,0.026634,1266.6148,2579.1848,1276.3543,2770.2694,3.1375,5.8021
288,7227.243362,0.001359,0.026415,1269.2098,2578.6521,1279.0337,2769.5609,3.1421,5.7984
288.5,7280.394288,0.001361,0.026198,1271.8087,2578.1121,1281.7174,2768.8430,3.1468,5.7946
289,7333.843662,0.001363,0.025982,1274.4114,2577.5647,1284.4056,2768.1157,3.1515,5.7908
289.5,7387.592681,0.001365,0.025769,1277.0179,2577.0100,1287.0984,2767.3790,3.1561,5.7870
290,7441.642544,0.001366,0.025557,1279.6283,2576.4479,1289.7957,2766.6326,3.1608,5.7832
290.5,7495.994455,0.001368,0.025347,1282.2426,2575.8782,1292.4976,2765.8767,3.1654,5.7794
291,7550.649623,0.001370,0.025138,1284.8608,2575.3010,1295.2042,2765.1110,3.1701,5.7756
291.5,7605.609264,0.001372,0.024932,1287.4831,2574.7161,1297.9155,2764.3356,3.1748,5.7718
292,7660.874595,0.001373,0.024727,1290.1094,2574.1235,1300.6315,2763.5503,3.1794,5.7680
292.5,7716.446841,0.001375,0.024523,1292.7398,2573.5232,1303.3523,2762.7550,3.1841,5.7642
293,7772.327231,0.001377,0.024322,1295.3742,2572.9150,1306.0779,2761.9497,3.1888,5.7603
293.5,7828.516997,0.001379,0.024121,1298.0129,2572.2989,1308.8084,2761.1343,3.1935,5.7565
294,7885.01738,0.001381,0.023923,1300.6557,2571.6749,1311.5438,2760.3087,3.1982,5.7526
294.5,7941.829624,0.001383,0.023726,1303.3027,2571.0428,1314.2842,2759.4729,3.2029,5.7488
295,7998.954977,0.001385,0.023531,1305.9541,2570.4026,1317.0297,2758.6266,3.2076,5.7449
295.5,8056.394695,0.001387,0.023337,1308.6097,2569.7542,1319.7801,2757.7699,3.2123,5.7410
296,8114.150038,0.001388,0.023145,1311.2697,2569.0975,1322.5358,2756.9027,3.2170,5.7372
296.5,8172.222271,0.001390,0.022955,1313.9341,2568.4325,1325.2965,2756.0248,3.2217,5.7333
297,8230.612666,0.001392,0.022766,1316.6030,2567.7591,1328.0626,2755.1361,3.2264,5.7294
297.5,8289.322499,0.001394,0.022578,1319.2764,2567.0772,1330.8338,2754.2367,3.2311,5.7255
298,8348.353053,0.001396,0.022392,1321.9543,2566.3868,1333.6105,2753.3263,3.2358,5.7215
298.5,8407.705616,0.001398,0.022208,1324.6368,2565.6877,1336.3925,2752.4050,3.2405,5.7176
299,8467.381482,0.001400,0.022025,1327.3239,2564.9798,1339.1799,2751.4725,3.2453,5.7137
299.5,8527.381951,0.001402,0.021843,1330.0157,2564.2632,1341.9728,2750.5288,3.2500,5.7097
300,8587.70833,0.001404,0.021663,1332.7123,2563.5377,1344.7713,2749.5737,3.2547,5.7058
300.5,8648.36193,0.001406,0.021484,1335.4136,2562.8031,1347.5754,2748.6073,3.2595,5.7018
301,8709.344069,0.001408,0.021307,1338.1198,2562.0596,1350.3852,2747.6293,3.2642,5.6978
301.5,8770.656074,0.001410,0.021131,1340.8308,2561.3068,1353.2007,2746.6397,3.2690,5.6938
302,8832.299274,0.001412,0.020956,1343.5468,2560.5448,1356.0220,2745.6384,3.2737,5.6898
302.5,8894.275007,0.001415,0.020783,1346.2678,2559.7735,1358.8491,2744.6252,3.2785,5.6858
303,8956.584618,0.001417,0.020611,1348.9939,2558.9928,1361.6822,2743.6001,3.2833,5.6818
303.5,9019.229457,0.001419,0.020441,1351.7250,2558.2025,1364.5212,2742.5629,3.2880,5.6778
304,9082.210882,0.001421,0.020272,1354.4613,2557.4026,1367.3663,2741.5135,3.2928,5.6737
304.5,9145.530257,0.001423,0.020104,1357.2028,2556.5930,1370.2175,2740.4517,3.2976,5.6697
305,9209.188954,0.001425,0.019937,1359.9495,2555.7736,1373.0748,2739.3776,3.3024,5.6656
305.5,9273.188352,0.001427,0.019772,1362.7016,2554.9442,1375.9384,2738.2909,3.3072,5.6615
306,9337.529835,0.001430,0.019608,1365.4591,2554.1049,1378.8083,2737.1915,3.3120,5.6575
306.5,9402.214798,0.001432,0.019445,1368.2220,2553.2554,1381.6846,2736.0793,3.3168,5.6534
307,9467.24464,0.001434,0.019283,1370.9905,2552.3957,1384.5674,2734.9542,3.3216,5.6492
307.5,9532.62077,0.001436,0.019123,1373.7645,2551.5256,1387.4566,2733.8160,3.3264,5.6451
308,9598.344603,0.001439,0.018964,1376.5442,2550.6451,1390.3525,2732.6646,3.3312,5.6410
308.5,9664.417564,0.001441,0.018806,1379.3295,2549.7540,1393.2550,2731.4999,3.3361,5.6368
309,9730.841082,0.001443,0.018649,1382.1206,2548.8522,1396.1643,2730.3217,3.3409,5.6327
309.5,9797.616599,0.001446,0.018493,1384.9176,2547.9396,1399.0804,2729.1299,3.3457,5.6285
310,9864.74556,0.001448,0.018339,1387.7205,2547.0161,1402.0034,2727.9243,3.3506,5.6243
310.5,9932.229423,0.001450,0.018186,1390.5293,2546.0816,1404.9334,2726.7049,3.3554,5.6201
311,10000.06965,0.001453,0.018033,1393.3442,2545.1358,1407.8705,2725.4713,3.3603,5.6159
311.5,10068.26772,0.001455,0.017882,1396.1652,2544.1788,1410.8147,2724.2235,3.3652,5.6117
312,10136.8251,0.001457,0.017732,1398.9924,2543.2103,1413.7662,2722.9614,3.3700,5.6074
312.5,10205.7433,0.001460,0.017584,1401.8258,2542.2303,1416.7250,2721.6847,3.3749,5.6031
313,10275.02381,0.001462,0.017436,1404.6656,2541.2386,1419.6912,2720.3933,3.3798,5.5989
313.5,10344.66813,0.001465,0.017289,1407.5119,2540.2350,1422.6649,2719.0870,3.3847,5.5946
314,10414.67779,0.001467,0.017144,1410.3646,2539.2194,1425.6463,2717.7657,3.3896,5.5903
314.5,10485.05432,0.001470,0.016999,1413.2239,2538.1917,1428.6353,2716.4291,3.3945,5.5860
315,10555.79924,0.001472,0.016856,1416.0898,2537.1516,1431.6321,2715.0772,3.3994,5.5816
315.5,10626.91412,0.001475,0.016713,1418.9626,2536.0992,1434.6367,2713.7097,3.4044,5.5773
316,10698.40049,0.001478,0.016572,1421.8421,2535.0341,1437.6494,2712.3264,3.4093,5.5729
316.5,10770.25994,0.001480,0.016431,1424.7286,2533.9563,1440.6702,2710.9271,3.4143,5.5685
317,10842.49404,0.001483,0.016292,1427.6221,2532.8655,1443.6991,2709.5116,3.4192,5.5641
317.5,10915.10437,0.001485,0.016154,1430.5227,2531.7616,1446.7364,2708.0798,3.4242,5.5597
318,10988.09253,0.001488,0.016016,1433.4305,2530.6445,1449.7820,2706.6314,3.4291,5.5553
318.5,11061.46014,0.001491,0.015880,1436.3456,2529.5139,1452.8362,2705.1662,3.4341,5.5508
319,11135.20882,0.001494,0.015744,1439.2682,2528.3697,1455.8990,2703.6840,3.4391,5.5463
319.5,11209.34018,0.001496,0.015610,1442.1982,2527.2116,1458.9706,2702.1846,3.4441,5.5418
320,11283.85589,0.001499,0.015476,1445.1358,2526.0396,1462.0510,2700.6677,3.4491,5.5373
320.5,11358.75758,0.001502,0.015343,1448.0811,2524.8533,1465.1404,2699.1331,3.4541,5.5328
321,11434.04694,0.001505,0.015211,1451.0343,2523.6526,1468.2390,2697.5805,3.4592,5.5282
321.5,11509.72563,0.001508,0.015081,1453.9954,2522.4372,1471.3468,2696.0098,3.4642,5.5237
322,11585.79535,0.001510,0.014951,1456.9645,2521.2070,1474.4640,2694.4206,3.4692,5.5191
322.5,11662.2578,0.001513,0.014821,1459.9418,2519.9618,1477.5907,2692.8127,3.4743,5.5145
323,11739.1147,0.001516,0.014693,1462.9274,2518.7013,1480.7270,2691.1859,3.4794,5.5098
323.5,11816.36778,0.001519,0.014566,1465.9214,2517.4252,1483.8732,2689.5398,3.4844,5.5052
324,11894.01878,0.001522,0.014439,1468.9239,2516.1334,1487.0293,2687.8741,3.4895,5.5005
324.5,11972.06945,0.001525,0.014314,1471.9352,2514.8256,1490.1955,2686.1886,3.4946,5.4958
325,12050.52156,0.001528,0.014189,1474.9552,2513.5016,1493.3719,2684.4830,3.4997,5.4911
325.5,12129.37691,0.001531,0.014065,1477.9841,2512.1610,1496.5588,2682.7570,3.5049,5.4863
326,12208.63728,0.001534,0.013941,1481.0222,2510.8037,1499.7562,2681.0102,3.5100,5.4816
326.5,12288.30448,0.001538,0.013819,1484.0695,2509.4293,1502.9644,2679.2424,3.5152,5.4768
327,12368.38036,0.001541,0.013697,1487.1262,2508.0375,1506.1835,2677.4532,3.5203,5.4719
327.5,12448.86674,0.001544,0.013577,1490.1924,2506.6282,1509.4138,2675.6422,3.5255,5.4671
328,12529.7655,0.001547,0.013457,1493.2683,2505.2009,1512.6553,2673.8091,3.5307,5.4622
328.5,12611.07849,0.001551,0.013337,1496.3542,2503.7554,1515.9082,2671.9535,3.5359,5.4573
329,12692.80761,0.001554,0.013219,1499.4500,2502.2913,1519.1729,2670.0751,3.5411,5.4524
329.5,12774.95477,0.001557,0.013101,1502.5561,2500.8084,1522.4494,2668.1735,3.5463,5.4475
330,12857.52189,0.001561,0.012984,1505.6726,2499.3063,1525.7380,2666.2483,3.5516,5.4425
330.5,12940.51091,0.001564,0.012868,1508.7997,2497.7846,1529.0389,2664.2991,3.5568,5.4375
331,13023.92378,0.001567,0.012752,1511.9376,2496.2430,1532.3524,2662.3254,3.5621,5.4324
331.5,13107.76249,0.001571,0.012637,1515.0865,2494.6812,1535.6786,2660.3269,3.5674,5.4274
332,13192.02903,0.001575,0.012523,1518.2467,2493.0987,1539.0178,2658.3031,3.5727,5.4223
332.5,13276.7254,0.001578,0.012410,1521.4182,2491.4952,1542.3703,2656.2535,3.5780,5.4171
333,13361.85364,0.001582,0.012297,1524.6014,2489.8703,1545.7363,2654.1776,3.5833,5.4120
333.5,13447.4158,0.001585,0.012185,1527.7965,2488.2236,1549.1160,2652.0751,3.5887,5.4068
334,13533.41394,0.001589,0.012073,1531.0038,2486.5546,1552.5098,2649.9454,3.5940,5.4016
334.5,13619.85017,0.001593,0.011962,1534.2234,2484.8629,1555.9180,2647.7880,3.5994,5.3963
335,13706.72658,0.001597,0.011852,1537.4556,2483.1481,1559.3407,2645.6023,3.6048,5.3910
335.5,13794.04531,0.001601,0.011743,1540.7008,2481.4098,1562.7784,2643.3879,3.6102,5.3857
336,13881.80852,0.001604,0.011634,1543.9592,2479.6473,1566.2314,2641.1441,3.6157,5.3803
336.5,13970.01838,0.001608,0.011525,1547.2311,2477.8604,1569.7000,2638.8705,3.6211,5.3749
337,14058.67708,0.001612,0.011418,1550.5167,2476.0484,1573.1844,2636.5664,3.6266,5.3694
337.5,14147.78684,0.001616,0.011311,1553.8165,2474.2108,1576.6852,2634.2312,3.6321,5.3640
338,14237.34992,0.001621,0.011204,1557.1307,2472.3472,1580.2026,2631.8643,3.6376,5.3584
338.5,14327.36857,0.001625,0.011098,1560.4596,2470.4570,1583.7370,2629.4651,3.6432,5.3529
339,14417.8451,0.001629,0.010993,1563.8037,2468.5395,1587.2889,2627.0329,3.6488,5.3473
339.5,14508.78181,0.001633,0.010888,1567.1632,2466.5944,1590.8586,2624.5670,3.6543,5.3416
340,14600.18106,0.001638,0.010784,1570.5386,2464.6208,1594.4466,2622.0667,3.6599,5.3359
340.5,14692.0452,0.001642,0.010680,1573.9302,2462.6184,1598.0532,2619.5315,3.6656,5.3302
341,14784.37665,0.001646,0.010577,1577.3384,2460.5863,1601.6791,2616.9604,3.6712,5.3244
341.5,14877.17782,0.001651,0.010474,1580.7638,2458.5240,1605.3245,2614.3527,3.6769,5.3186
342,14970.45116,0.001655,0.010372,1584.2066,2456.4308,1608.9901,2611.7078,3.6826,5.3127
342.5,15064.19917,0.001660,0.010271,1587.6674,2454.3061,1612.6764,2609.0247,3.6884,5.3067
343,15158.42434,0.001665,0.010170,1591.1466,2452.1490,1616.3838,2606.3027,3.6941,5.3008
343.5,15253.12923,0.001670,0.010069,1594.6447,2449.9590,1620.1129,2603.5409,3.6999,5.2947
344,15348.3164,0.001675,0.009969,1598.1622,2447.7353,1623.8644,2600.7385,3.7058,5.2886
344.5,15443.98846,0.001680,0.009869,1601.6996,2445.4771,1627.6387,2597.8946,3.7116,5.2825
345,15540.14805,0.001685,0.009770,1605.2575,2443.1836,1631.4365,2595.0082,3.7175,5.2763
345.5,15636.79785,0.001690,0.009671,1608.8365,2440.8540,1635.2584,2592.0785,3.7234,5.2700
346,15733.94056,0.001695,0.009573,1612.4371,2438.4875,1639.1052,2589.1044,3.7294,5.2637
346.5,15831.57892,0.001700,0.009475,1616.0599,2436.0832,1642.9774,2586.0850,3.7353,5.2573
347,15929.71572,0.001706,0.009377,1619.7055,2433.6404,1646.8757,2583.0193,3.7414,5.2509
347.5,16028.35377,0.001711,0.009280,1623.3746,2431.1580,1650.8010,2579.9063,3.7474,5.2444
348,16127.49593,0.001717,0.009184,1627.0678,2428.6351,1654.7540,2576.7448,3.7535,5.2378
348.5,16227.1451,0.001722,0.009087,1630.7859,2426.0709,1658.7353,2573.5338,3.7596,5.2312
349,16327.30421,0.001728,0.008992,1634.5295,2423.4643,1662.7459,2570.2721,3.7658,5.2245
349.5,16427.97626,0.001734,0.008896,1638.2994,2420.8143,1666.7866,2566.9585,3.7720,5.2177
350,16529.16425,0.001740,0.008801,1642.0963,2418.1200,1670.8582,2563.5920,3.7783,5.2109
350.5,16630.87127,0.001746,0.008707,1645.9572,2415.3996,1674.9991,2560.2044,3.7846,5.2040
351,16733.10044,0.001753,0.008612,1649.8188,2412.6054,1679.1440,2556.7187,3.7910,5.1970
351.5,16835.85492,0.001759,0.008518,1653.7118,2409.7597,1683.3248,2553.1718,3.7974,5.1899
352,16939.13792,0.001765,0.008424,1657.6375,2406.8608,1687.5426,2549.5618,3.8039,5.1828
352.5,17042.95273,0.001772,0.008331,1661.5968,2403.9070,1691.7989,2545.8865,3.8104,5.1755
353,17147.30265,0.001779,0.008237,1665.5912,2400.8964,1696.0951,2542.1439,3.8169,5.1681
353.5,17252.19108,0.001786,0.008144,1669.6218,2397.8269,1700.4325,2538.3315,3.8236,5.1607
354,17357.62146,0.001793,0.008051,1673.6902,2394.6966,1704.8129,2534.4469,3.8302,5.1531
354.5,17463.59728,0.001800,0.007959,1677.7977,2391.5031,1709.2378,2530.4873,3.8370,5.1454
355,17570.12211,0.001808,0.007866,1681.9460,2388.2439,1713.7092,2526.4500,3.8438,5.1377
355.5,17677.19959,0.001815,0.007774,1686.1369,2384.9164,1718.2290,2522.3317,3.8507,5.1298
356,17784.83341,0.001823,0.007681,1690.3721,2381.5178,1722.7993,2518.1292,3.8577,5.1218
356.5,17893.02736,0.001831,0.007589,1694.6537,2378.0451,1727.4223,2513.8391,3.8647,5.1137
357,18001.78529,0.001840,0.007497,1698.9838,2374.4950,1732.1004,2509.4573,3.8718,5.1054
357.5,18111.11114,0.001848,0.007405,1703.3647,2370.8641,1736.8363,2504.9799,3.8790,5.0970
358,18221.00893,0.001857,0.007313,1707.7989,2367.1483,1741.6329,2500.4023,3.8863,5.0885
358.5,18331.48278,0.001866,0.007221,1712.2892,2363.3438,1746.4931,2495.7197,3.8936,5.0798
359,18442.53691,0.001875,0.007129,1716.8385,2359.4458,1751.4204,2490.9269,3.9011,5.0709
359.5,18554.17564,0.001885,0.007037,1721.4500,2355.4496,1756.4184,2486.0180,3.9087,5.0619
360,18666.40342,0.001895,0.006945,1726.1274,2351.3498,1761.4911,2480.9869,3.9164,5.0527
360.5,18779.22481,0.001905,0.006853,1730.8744,2347.1405,1766.6430,2475.8267,3.9242,5.0434
361,18892.6445,0.001915,0.006760,1735.6955,2342.8152,1771.8788,2470.5297,3.9321,5.0338
361.5,19006.66735,0.001926,0.006667,1740.5953,2338.3668,1777.2041,2465.0878,3.9401,5.0240
362,19121.29836,0.001937,0.006574,1745.5792,2333.7874,1782.6246,2459.4916,3.9483,5.0140
362.5,19236.54272,0.001949,0.006481,1750.6529,2329.0683,1788.1472,2453.7309,3.9566,5.0037
363,19352.40583,0.001961,0.006387,1755.8233,2324.1995,1793.7793,2447.7943,3.9651,4.9932
363.5,19468.89332,0.001974,0.006292,1761.0976,2319.1701,1799.5293,2441.6688,3.9738,4.9824
364,19586.01105,0.001987,0.006197,1766.4844,2313.9676,1805.4068,2435.3400,3.9827,4.9714
364.5,19703.76521,0.002001,0.006101,1771.9933,2308.5779,1811.4225,2428.7914,3.9918,4.9599
365,19822.16232,0.002016,0.006004,1777.6353,2302.9848,1817.5891,2422.0041,4.0011,4.9482
365.5,19941.2093,0.002031,0.005907,1783.4231,2297.1697,1823.9209,2414.9566,4.0106,4.9360
366,20060.91356,0.002047,0.005808,1789.3718,2291.1111,1830.4347,2407.6236,4.0204,4.9235
366.5,20181.28307,0.002064,0.005708,1795.4987,2284.7837,1837.1505,2399.9759,4.0305,4.9104
367,20302.32651,0.002082,0.005606,1801.8248,2278.1576,1844.0916,2391.9785,4.0410,4.8968
367.5,20424.05339,0.002101,0.005503,1808.3751,2271.1970,1851.2866,2383.5899,4.0518,4.8827
368,20546.47433,0.002122,0.005398,1815.1803,2263.8584,1858.7700,2374.7596,4.0631,4.8679
368.5,20669.60125,0.002144,0.005290,1822.2783,2256.0886,1866.5846,2365.4254,4.0749,4.8523
369,20793.44788,0.002167,0.005179,1829.7168,2247.8202,1874.7847,2355.5096,4.0872,4.8358
369.5,20918.03021,0.002193,0.005065,1837.5578,2238.9674,1883.4400,2344.9121,4.1003,4.8183
370,21043.36732,0.002222,0.004946,1845.8830,2229.4170,1892.6433,2333.5017,4.1142,4.7996
370.5,21169.48252,0.002254,0.004822,1854.8042,2219.0150,1902.5211,2321.0998,4.1291,4.7794
371,21296.40504,0.002290,0.004691,1864.4810,2207.5437,1913.2541,2307.4538,4.1453,4.7573
371.5,21424.1727,0.002332,0.004551,1875.1531,2194.6778,1925.1139,2292.1870,4.1632,4.7327
372,21552.83605,0.002382,0.004398,1887.2076,2179.8954,1938.5399,2274.6952,4.1836,4.7046
372.5,21682.46544,0.002444,0.004226,1901.3395,2162.2671,1954.3209,2253.9034,4.2076,4.6716
373,21813.16315,0.002526,0.004021,1919.0255,2139.8401,1974.1350,2227.5559,4.2377,4.6299
373.5,21945.08602,0.002658,0.003745,1944.6298,2106.9682,2002.9501,2189.1435,4.2818,4.5697
373.946,22064,0.003104,0.003130,2018.7643,2022.6899,2087.2480,2091.7469,4.4116,4.4185
